iter	Passed	Remaining
0	0	43
1	0	39
2	1	37
3	1	36
4	1	34
5	2	33
6	2	33
7	2	32
8	3	32
9	3	31
10	3	31
11	4	30
12	4	30
13	4	29
14	5	29
15	5	29
16	5	28
17	6	28
18	6	27
19	6	27
20	7	27
21	7	26
22	7	26
23	8	25
24	9	27
25	9	26
26	9	26
27	10	25
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	23
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	16	18
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	21	16
57	21	15
58	22	15
59	22	15
60	23	14
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	26	12
67	26	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	37	4
89	37	4
90	38	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
