iter	Passed	Remaining
0	1	1369
1	2	1292
2	3	1247
3	4	1239
4	6	1379
5	7	1311
6	8	1257
7	9	1226
8	11	1224
9	12	1195
10	13	1184
11	14	1169
12	15	1141
13	15	1118
14	17	1120
15	17	1100
16	18	1084
17	19	1073
18	20	1081
19	22	1120
20	24	1138
21	25	1127
22	26	1116
23	27	1107
24	28	1097
25	29	1091
26	30	1081
27	30	1070
28	31	1061
29	32	1053
30	33	1054
31	34	1052
32	37	1104
33	38	1098
34	39	1093
35	40	1088
36	41	1086
37	43	1098
38	44	1101
39	45	1097
40	46	1093
41	47	1085
42	48	1079
43	49	1076
44	50	1073
45	52	1082
46	53	1092
47	54	1085
48	55	1081
49	56	1077
50	57	1075
51	58	1072
52	59	1066
53	60	1062
54	61	1057
55	62	1054
56	63	1054
57	65	1057
58	67	1072
59	68	1075
60	69	1069
61	71	1082
62	73	1089
63	74	1084
64	74	1078
65	75	1071
66	76	1065
67	77	1063
68	78	1057
69	79	1051
70	79	1046
71	80	1042
72	82	1045
73	83	1048
74	84	1044
75	85	1041
76	86	1037
77	87	1031
78	88	1028
79	89	1023
80	89	1020
81	90	1016
82	91	1009
83	92	1004
84	93	1001
85	93	996
86	94	994
87	95	994
88	97	998
89	98	995
90	99	996
91	100	994
92	101	990
93	102	987
94	103	983
95	104	979
96	104	976
97	105	972
98	106	967
99	107	964
100	107	961
101	108	957
102	109	955
103	110	951
104	111	951
105	113	953
106	113	951
107	114	948
108	115	945
109	116	943
110	117	940
111	118	936
112	118	933
113	119	930
114	120	927
115	121	924
116	122	922
117	123	920
118	123	917
119	124	913
120	125	910
121	125	905
122	126	905
123	128	906
124	128	902
125	129	900
126	130	895
127	131	892
128	131	890
129	132	888
130	133	886
131	134	883
132	135	882
133	136	879
134	137	877
135	137	875
136	138	872
137	139	870
138	139	867
139	140	863
140	141	861
141	142	859
142	143	861
143	144	859
144	145	856
145	146	854
146	146	852
147	147	850
148	148	849
149	149	847
150	150	846
151	151	844
152	152	845
153	153	845
154	154	843
155	155	843
156	157	845
157	158	844
158	159	843
159	160	841
160	160	838
161	161	836
162	162	835
163	163	833
164	164	831
165	165	830
166	166	828
167	166	826
168	167	824
169	168	822
170	169	821
171	170	819
172	170	817
173	172	816
174	173	815
175	174	816
176	175	814
177	176	812
178	176	811
179	177	810
180	178	809
181	179	808
182	180	806
183	181	805
184	182	804
185	183	803
186	184	802
187	185	800
188	186	799
189	187	797
190	188	797
191	189	796
192	190	795
193	191	794
194	192	793
195	193	791
196	193	790
197	194	789
198	195	788
199	196	786
200	197	785
201	198	784
202	199	782
203	200	780
204	201	779
205	202	779
206	203	779
207	204	778
208	205	776
209	206	775
210	207	774
211	208	773
212	209	773
213	210	771
214	211	771
215	212	770
216	213	768
217	213	767
218	214	766
219	215	764
220	216	763
221	217	763
222	218	762
223	219	761
224	220	760
225	221	759
226	222	757
227	223	757
228	224	756
229	225	755
230	226	754
231	227	752
232	228	751
233	229	750
234	230	749
235	231	748
236	232	747
237	233	747
238	234	745
239	235	744
240	236	743
241	236	742
242	237	741
243	238	740
244	239	739
245	240	738
246	241	737
247	242	735
248	243	734
249	244	733
250	245	732
251	246	731
252	247	729
253	248	729
254	249	729
255	250	727
256	251	727
257	252	726
258	253	725
259	254	724
260	255	723
261	256	722
262	257	720
263	258	719
264	260	722
265	261	721
266	262	720
267	263	719
268	264	718
269	265	717
270	266	717
271	267	716
272	268	715
273	269	714
274	270	713
275	271	712
276	272	711
277	273	710
278	274	710
279	275	708
280	276	707
281	277	706
282	278	705
283	279	704
284	280	703
285	281	702
286	282	701
287	283	700
288	284	700
289	285	699
290	286	698
291	287	697
292	288	696
293	289	695
294	290	694
295	291	693
296	292	691
297	293	690
298	294	690
299	295	689
300	296	688
301	297	687
302	298	686
303	299	685
304	300	684
305	302	685
306	303	684
307	304	683
308	305	682
309	305	680
310	306	679
311	307	678
312	308	677
313	310	677
314	311	676
315	312	675
316	312	674
317	313	673
318	315	672
319	316	671
320	317	670
321	318	670
322	319	669
323	320	668
324	321	666
325	321	665
326	323	664
327	324	664
328	325	663
329	326	661
330	327	660
331	328	660
332	329	658
333	330	658
334	330	656
335	331	655
336	332	654
337	333	653
338	334	652
339	335	651
340	336	650
341	337	649
342	338	647
343	339	647
344	340	646
345	341	645
346	342	645
347	343	644
348	344	642
349	345	641
350	346	640
351	347	639
352	348	638
353	349	637
354	350	636
355	351	634
356	351	633
357	353	633
358	354	632
359	355	632
360	356	630
361	357	629
362	358	628
363	359	627
364	360	626
365	361	625
366	362	624
367	363	623
368	364	622
369	364	621
370	365	619
371	366	618
372	367	617
373	368	616
374	369	615
375	370	614
376	371	613
377	371	612
378	372	610
379	373	609
380	374	608
381	375	606
382	375	605
383	376	604
384	377	603
385	378	601
386	379	600
387	379	599
388	380	597
389	381	597
390	382	596
391	384	595
392	385	595
393	386	594
394	387	594
395	388	592
396	389	591
397	390	590
398	391	589
399	392	588
400	393	587
401	393	586
402	394	584
403	395	583
404	396	582
405	397	581
406	398	580
407	399	579
408	400	578
409	402	578
410	403	577
411	404	576
412	404	575
413	405	574
414	406	573
415	407	572
416	408	571
417	409	570
418	410	569
419	411	568
420	412	567
421	413	566
422	414	565
423	415	564
424	416	564
425	417	562
426	418	561
427	419	560
428	420	559
429	420	557
430	421	556
431	422	555
432	423	554
433	424	553
434	425	552
435	425	550
436	426	549
437	427	548
438	428	546
439	428	545
440	429	544
441	430	543
442	432	543
443	433	542
444	433	541
445	434	540
446	435	539
447	437	538
448	438	537
449	439	537
450	440	536
451	442	536
452	444	536
453	446	536
454	448	536
455	450	537
456	451	536
457	453	536
458	454	535
459	455	534
460	456	533
461	457	532
462	459	532
463	460	532
464	462	532
465	464	532
466	465	531
467	466	530
468	467	529
469	469	529
470	471	529
471	472	528
472	472	526
473	474	526
474	475	525
475	476	524
476	478	525
477	480	524
478	481	523
479	482	523
480	484	522
481	485	521
482	486	520
483	487	519
484	489	519
485	490	518
486	492	518
487	494	518
488	495	517
489	497	517
490	498	516
491	499	515
492	500	514
493	501	513
494	502	512
495	503	511
496	504	510
497	505	509
498	506	508
499	508	508
500	509	507
501	510	506
502	512	506
503	513	505
504	515	504
505	516	504
506	517	503
507	519	502
508	520	501
509	522	501
510	523	501
511	525	501
512	527	500
513	529	500
514	531	500
515	533	500
516	535	499
517	536	499
518	538	498
519	539	498
520	541	497
521	543	497
522	545	497
523	547	497
524	549	496
525	550	496
526	553	496
527	555	496
528	558	497
529	560	497
530	563	497
531	564	496
532	566	496
533	568	496
534	571	496
535	573	496
536	575	496
537	577	496
538	580	496
539	583	496
540	586	497
541	589	498
542	592	498
543	595	498
544	598	499
545	602	500
546	605	501
547	608	502
548	611	502
549	614	502
550	617	503
551	620	503
552	623	504
553	627	505
554	630	505
555	633	505
556	635	505
557	638	505
558	640	505
559	643	505
560	646	505
561	649	506
562	652	506
563	654	506
564	657	506
565	660	506
566	663	506
567	666	507
568	669	507
569	672	507
570	675	507
571	678	507
572	682	508
573	685	508
574	689	509
575	692	509
576	695	509
577	698	510
578	701	510
579	705	510
580	708	510
581	711	510
582	714	511
583	717	510
584	719	510
585	722	510
586	724	510
587	727	509
588	730	509
589	733	509
590	736	509
591	739	509
592	742	509
593	745	509
594	748	509
595	750	508
596	753	508
597	755	508
598	758	507
599	760	507
600	763	506
601	765	506
602	767	505
603	770	505
604	772	504
605	775	504
606	777	503
607	780	502
608	782	502
609	785	502
610	788	501
611	790	501
612	793	500
613	795	500
614	798	499
615	801	499
616	803	498
617	804	497
618	806	496
619	808	495
620	810	494
621	811	493
622	813	492
623	814	490
624	816	489
625	817	488
626	819	487
627	820	485
628	821	484
629	823	483
630	825	482
631	826	481
632	827	479
633	829	478
634	830	477
635	832	476
636	833	475
637	835	473
638	836	472
639	837	471
640	838	469
641	840	468
642	842	467
643	844	466
644	845	465
645	847	464
646	848	462
647	849	461
648	850	460
649	852	458
650	853	457
651	854	456
652	856	454
653	857	453
654	858	452
655	859	450
656	860	449
657	862	448
658	863	446
659	864	445
660	865	444
661	867	442
662	868	441
663	869	439
664	871	439
665	873	437
666	874	436
667	875	435
668	877	433
669	878	432
670	879	431
671	880	429
672	882	428
673	883	427
674	884	426
675	886	424
676	888	423
677	889	422
678	890	421
679	892	419
680	893	418
681	895	417
682	896	416
683	898	414
684	899	413
685	901	412
686	903	411
687	904	410
688	906	408
689	907	407
690	909	406
691	910	405
692	912	404
693	913	402
694	915	401
695	916	400
696	917	398
697	919	397
698	920	396
699	921	395
700	922	393
701	924	392
702	925	390
703	926	389
704	927	388
705	929	387
706	930	385
707	932	384
708	933	383
709	934	381
710	936	380
711	937	379
712	938	377
713	940	376
714	941	375
715	942	373
716	943	372
717	945	371
718	947	370
719	948	368
720	950	367
721	951	366
722	952	365
723	954	363
724	955	362
725	957	361
726	958	359
727	959	358
728	961	357
729	962	356
730	964	354
731	965	353
732	966	352
733	968	350
734	969	349
735	970	348
736	972	346
737	973	345
738	975	344
739	976	343
740	978	341
741	979	340
742	981	339
743	982	338
744	984	336
745	985	335
746	987	334
747	989	333
748	990	331
749	991	330
750	993	329
751	995	328
752	996	326
753	998	325
754	1000	324
755	1001	323
756	1003	322
757	1005	320
758	1006	319
759	1008	318
760	1010	317
761	1011	316
762	1013	314
763	1014	313
764	1016	312
765	1018	311
766	1019	309
767	1021	308
768	1022	307
769	1024	305
770	1025	304
771	1027	303
772	1028	302
773	1029	300
774	1031	299
775	1032	297
776	1033	296
777	1034	295
778	1036	293
779	1037	292
780	1038	291
781	1040	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	282
787	1046	281
788	1047	280
789	1048	278
790	1049	277
791	1050	275
792	1051	274
793	1052	273
794	1054	271
795	1055	270
796	1057	269
797	1058	267
798	1059	266
799	1061	265
800	1062	263
801	1063	262
802	1064	261
803	1066	259
804	1067	258
805	1069	257
806	1070	256
807	1071	254
808	1073	253
809	1074	252
810	1075	250
811	1076	249
812	1078	247
813	1079	246
814	1080	245
815	1081	243
